Table B.2: Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Selected Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Cities Selected Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,M49 classification,Country,,Year,Number of Cases,Improved water sources,,,,,,,,,,Total Improved water (d),Access to basic drinking water services (e),Improved sanitation facilities,,,,,,,Total Improved Sanitation (f),Access to basic sanitation services (g),Basic hand-washing facility (h),Durable housing (i),,,Sufficient living area (j),,,,Type of main cooking fuel,,,,,Source
South America,Latin America and the Caribbean,Peru,Arequipa,1996,"4,317",75.5,14.1,89.6,,5.3,,0,2.9,0,8.2,97.8,95,67.8,,,,,,,80.8,,,81.5,,,62.1,24.9,,95.3,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Arequipa,2000,"4,690",81.3,8.7,90,,2.6,,0,1.5,0,4.1,94.1,93.3,78.3,,,,,,,86.2,78.1,,87.6,81.3,79.5,73.1,34.9,,94,1.6,37.5,0,39.1,60.4,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Arequipa,2004,"1,062",92.1,0.2,92.2,,0,,0,6.1,,6.1,98.4,98.2,84.7,,,,,,,89.8,80,,88.2,99.4,96.2,76.8,39.4,,97.8,1.3,64.1,0,65.4,34.6,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Arequipa,2012,"3,309",89.1,6.3,95.4,0,,0.3,0,0.9,1.5,2.5,97.9,97.3,81.4,,4,0.1,,,4.1,91.1,86,,90.8,94.1,98.6,84.6,32.9,97.8,99.5,0.2,95.5,0,95.7,1.6,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Chiclayo,1996,"4,215",74.9,14.1,88.9,,0.4,,0,4.3,0,4.6,93.6,88,52.9,,,,,,,71.5,,,65.7,,,58.5,20.3,,88.6,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Chiclayo,2000,"4,222",80.1,12,92.1,,1.2,,0,4.1,0,5.2,97.3,94,66,,,,,,,78.3,73.1,,66.9,49.5,39,69.7,29.1,,90.5,0.6,66,0,66.6,32.2,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Chiclayo,2012,"3,207",81.1,8.5,89.5,0.9,,0,0,2.1,0.6,3.6,93.1,91.2,78.4,,0.2,0.2,,,0.4,87.6,78.6,,72,51.7,84.9,82.1,35.3,93,98.9,0.9,90.5,0,91.4,7.3,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Chimbote,1996,"3,106",72.3,4.6,76.9,,0.1,,0,19.2,0,19.4,96.3,95.3,69.7,,,,,,,80.3,,,65.2,,,73.5,25,,91.6,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Chimbote,2000,"2,386",84.4,3.2,87.6,,1.1,,0,0.5,0,1.6,89.2,88.8,75.4,,,,,,,80.8,74.8,,60.8,51.6,49.8,76.7,26.4,,91.2,0.4,45.1,0,45.5,53.5,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Chimbote,2004,365,91.9,0,91.9,,0,,0,0,,0,91.9,91,78.1,,,,,,,83.4,70.2,,61.4,67.8,94.9,83,34.5,,87.5,0,60.5,0,60.5,39,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Chimbote,2012,"2,422",95.2,0.6,95.7,0,,0.5,0,0,1.2,1.2,97,97,87.3,,1.4,1.1,,,2.5,93.1,85.4,,81.2,72.1,84.7,87.9,36.8,93,97.6,1.1,83.3,0,84.4,14.2,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Cusco,1996,"2,957",90.6,3,93.6,,0.1,,0,0,0,0.1,93.7,92.8,67.6,,,,,,,71.1,,,31.2,,,53.1,28.9,,89.9,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Cusco,2000,"2,005",91.7,3.4,95.1,,0,,0,0,0,0,95.1,95.1,73.3,,,,,,,77,48,,33.6,14.8,74.9,67,32.2,,94.5,0.6,28.1,0,28.7,70.3,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Cusco,2012,"1,955",97.7,0,97.7,0,,0.3,0,0.7,1,1.7,99.3,99.3,96.4,,0.3,0,,,0.3,97.5,65.2,,51.7,28.4,99.5,80.7,20.2,95.4,95.7,0.8,74.4,0,75.3,23.6,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Huancayo,1996,"3,887",80.5,10.1,90.6,,3.2,,0,0,0,3.2,93.8,92.9,63.2,,,,,,,70.2,,,51.4,,,53.8,22.6,,88.9,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Huancayo,2000,"3,267",89,6.5,95.5,,1.6,,0,0,0,1.6,97.1,96.9,73.7,,,,,,,78.8,64.8,,54.2,48.9,69.7,66.1,24.1,,94.1,0.9,45.8,0,46.7,51.6,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Huancayo,2012,"2,777",85.8,2.5,88.2,3.7,,0.8,0,4.4,0.8,8.9,97.1,95.6,76.2,,6,0.6,,,6.6,87.3,73.9,,67.1,53.5,99.8,78.8,24.7,92.2,96.9,0.1,74.9,0,75,23.8,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Iquitos,1996,"3,003",67.7,3.7,71.4,,14.2,,0.4,0.3,0,14.8,86.2,84.9,65.6,,,,,,,78.8,,,55.5,,,56.2,25,,85.4,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Iquitos,2000,"2,596",51.7,7,58.7,,14.1,,0.1,2,0,16.2,74.9,74.3,45.3,,,,,,,62.7,58.7,,40.5,49.3,0.7,58.7,19.1,,78.4,0.9,14.8,0,15.7,83.2,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Iquitos,2012,"2,268",34.8,6.2,41.1,12.6,,0,1.7,5.5,24.5,44.4,85.5,82.9,46.8,,13.9,2.2,,,16.1,72.8,64.9,,43.8,43.5,73.4,70.2,34.8,73.3,91,0.4,51,0,51.4,45.8,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Lima,1991,"22,978",89.2,2.7,91.9,,3.7,,0,1.8,0,5.5,97.4,96.8,88.9,,,,,,,90.4,,,88.9,,,78,,,98.2,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Lima,1996,"42,033",75,9.6,84.6,,1.4,,0,10.9,0,12.3,96.9,94.2,78.2,,,,,,,86.7,,,75.7,,,67.5,36.2,,97.9,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Lima,2000,"38,570",85.9,3.6,89.6,,0.8,,0,6.7,0,7.5,97.1,96.1,85.3,,,,,,,91.1,84,,83.2,83.1,66.6,78.9,51.1,,98,2.2,70.4,0,72.6,26.3,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Lima,2004,"6,605",96.5,0,96.5,,0.2,,0,2.3,,2.5,98.9,98.6,94.4,,,,,,,96.5,85.7,,91.2,87.8,93.2,81.6,63.2,,99.3,1.8,84.7,0,86.5,12.6,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Lima,2012,"28,602",86.2,2.2,88.4,0.4,,0.1,0,3,5,8.4,96.9,95.8,89.1,,1,1.5,,,2.5,94.8,86.8,,92.5,86.6,93.5,86.9,56.3,94.1,99.4,1.3,95.1,0,96.4,2,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Piura,1996,"6,082",85.4,3.2,88.6,,0,,0,1.2,0,1.2,89.8,89.4,67.8,,,,,,,78.3,,,63.8,,,61.5,20.1,,85.6,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Piura,2000,"6,183",77.1,10.3,87.5,,0.1,,0,4.2,0,4.4,91.8,90.5,66.2,,,,,,,76.4,76.4,,66.5,69.2,33.5,67.7,24.2,,82.1,0,57.2,0,57.2,42.2,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Piura,2004,"1,055",61.3,32.4,93.7,,0,,0,0.7,,0.7,94.4,76.6,36,,,,,,,59.6,59.5,,59.6,74.2,99.3,70,23.1,,91.7,0,72,0,72,27.5,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Piura,2012,"4,697",78.8,3.4,82.3,0.1,,0,0,2.2,6.4,8.8,91.1,87.1,65.5,,7.1,0,,,7.1,78.2,70.9,,63,76.1,99.2,82.5,27.5,86.2,97.6,0.1,72.8,0,72.9,25.7,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Trujillo,1991,"2,749",86.4,5.9,92.3,,1.8,,0,0,0,1.8,94.1,93.3,65.6,,,,,,,77.3,,,62,,,72,,,89.2,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Trujillo,1996,"4,727",75.6,11,86.7,,3.4,,0,0.8,0,4.2,90.9,86.9,64.1,,,,,,,76.6,,,56,,,71.6,22.5,,85.6,,,,,,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Trujillo,2000,"4,202",85.5,1.4,86.9,,5.9,,0,1.9,0,7.8,94.8,94.2,77.7,,,,,,,84.1,80.2,,72.8,44.5,48.1,79.1,37.5,,94.5,0.7,64.9,0,65.6,33.7,UN-Habitat_DHS
South America,Latin America and the Caribbean,Peru,Trujillo,2012,"4,303",90.3,0.6,90.9,1.5,,0,0,0.5,4.3,6.3,97.2,97.1,72.8,,0.1,0,,,0.1,83.1,78.4,,70.8,49.5,78,84.9,38.2,92.6,98.7,0.3,83.4,0,83.7,14.7,UN-Habitat_DHS
South America,Latin America and the Caribbean,Suriname,Commewijne,2010,442,18.1,0,18.1,0,6.8,0,69.2,1.1,1.4,78.5,96.6,75,1.1,0,5.9,69.5,0,16.3,91.6,92.8,91.4,,87.3,,,88.9,38,91.9,91.6,1.1,80,0,81.2,18.8,UN-Habitat_MICS
South America,Latin America and the Caribbean,Suriname,Nickerie,2010,427,89.9,0,89.9,0,0,0,2.1,0,7.7,9.8,99.8,0,0,0,0,95.6,0,4.4,,,93.7,,77,99.3,,90.6,37,95.1,96.2,0,94.4,0.7,95.1,4.9,UN-Habitat_MICS
Caribbean,Latin America and the Caribbean,Trinidad and Tobago,Arima Borough,2000,323,94.4,0,94.4,0,0,0,0,0,0,0,94.4,0,68.7,0,0,25.1,0,0,25.1,93.8,85.8,,,98.1,,96.3,,,,,,,,,UN-Habitat_MICS
Caribbean,Latin America and the Caribbean,Trinidad and Tobago,Arima Borough,2006,515,96.7,0,96.7,0,0,0,0,0,1.9,1.9,98.6,0,45.2,0,0,52,0,0.6,52.6,97.9,93.8,,97.3,95.7,,95,74.8,90.9,99.4,10.1,89.9,0,,0,UN-Habitat_MICS
Caribbean,Latin America and the Caribbean,Trinidad and Tobago,Chaguanas,2006,"1,065",75.8,0,75.8,0,0,0.6,3.2,0,9.5,13.2,89,93.5,8.9,0,0.6,83.9,0,6.2,90.7,99.6,92.8,,87.5,95.8,99.9,95,71.8,89.5,99.2,5.1,94.7,0,99.8,0.2,UN-Habitat_MICS
Caribbean,Latin America and the Caribbean,Trinidad and Tobago,Penal/Debe,2006,"1,303",79,2.2,81.2,0,0,0,6,7.2,4.1,17.3,98.5,79.5,4.1,0,1.2,85.9,0,8.6,95.7,99.8,96.1,,78.4,94.7,,97.1,76.2,84.5,97.8,1.9,98,0,99.9,0.1,UN-Habitat_MICS
Caribbean,Latin America and the Caribbean,Trinidad and Tobago,Port Fortin Borough,2000,241,66.4,17,83.4,0,0,0,5,0,0,5,88.4,19.5,0,0,0,51,0,0,51,51,47.7,,,97.9,,85.5,,,,,,,,,UN-Habitat_MICS
Caribbean,Latin America and the Caribbean,Trinidad and Tobago,Port Fortin Borough,2006,213,64.8,9.9,74.7,0,0,0,12.7,2.8,9.9,25.4,,39,22.1,0,3.3,57.3,0,9.9,70.4,92.5,92.5,,70,93.4,,96.7,66.7,86.8,95.3,3.8,93.9,0,97.7,2.4,UN-Habitat_MICS
Caribbean,Latin America and the Caribbean,Trinidad and Tobago,Port of Spain,2006,616,84.7,5.4,90.1,0,0,0,0.2,0,8.1,8.3,98.4,56.4,72.6,0,7.5,15.3,0,1,23.7,96.3,93.7,,75.8,83,99.7,93.8,65.3,89.4,98.5,13.5,85.9,0,99.3,0.7,UN-Habitat_MICS
Caribbean,Latin America and the Caribbean,Trinidad and Tobago,Princes Town,2006,"1,403",73.8,3.4,77.2,0,0,0,8.7,6.6,5.4,20.7,97.9,15.1,16.5,0,0,58.7,0,22.4,81,97.6,94,,62.5,95.7,99.9,93.8,63.1,90.8,96.3,1.6,97.9,0,99.5,0.5,UN-Habitat_MICS
Caribbean,Latin America and the Caribbean,Trinidad and Tobago,Siparia,2006,"1,169",79.2,3.7,82.9,0,0,0,9.2,0.6,3.9,13.8,96.7,23.1,15.2,0,1.7,66.1,0,16.9,84.8,,93.1,,78,79,99.8,94.4,69,84.1,96.8,2.4,97.4,0,99.8,0.2,UN-Habitat_MICS
Oceania,Oceania excluding Australia and New Zealand,Papua New Guinea,Port Moresby,2018,"2,312",89.5,9.1,98.6,0,0,0,0,0.1,0,0.2,98.8,97.8,68.9,0,1.7,9.8,1.1,4.7,17.3,86.2,71,,98.6,89.3,99.1,52.7,13.2,94.6,87.7,38.3,,,68.7,31.3,UN-Habitat_DHS
Oceania,Oceania excluding Australia and New Zealand,Vanuatu,Port Vila,2007,"2,341",53.5,17.7,71.2,0.2,2.7,0,22.2,,1.4,26.5,97.7,96.5,,,10.2,73.4,3.2,7.5,94.3,94.3,59.3,,96,94.8,99.2,76.1,,79.7,86.9,2.3,46.4,,48.7,50.5,UN-Habitat_MICS
Southern Europe,Northern America and Europe,Albania,Tirana,2005,"1,582",97.5,0.4,98,1.8,0,0,,0,0.2,2,,,97.2,,,0,0,1.7,1.7,99,98.8,,99,98,82.1,78.5,39.8,75.4,,1,48.7,,49.8,50.2,UN-Habitat_MICS
Southern Europe,Northern America and Europe,Albania,Tirana,2009,"5,006",59.5,0.9,60.4,0.1,0.5,1,,0.9,36.2,38.6,98.9,97.5,99,0,,1,0,0,1,100,98.6,,100,99.8,99.2,90.6,65.7,97.9,100,26.5,15.6,,97.3,2.5,UN-Habitat_DHS
Southern Europe,Northern America and Europe,Albania,Tirana,2018,"12,419",21,0.4,21.4,1.4,1.2,1.5,,29.9,44.1,78.1,99.4,97.5,97.6,0,0.2,0.1,0.2,0,1.6,99.1,98.1,,99.9,99.7,99.3,93.7,30.5,99.1,0,33.4,10.8,,97.9,1.4,UN-Habitat_DHS
Eastern Europe,Northern America and Europe,Belarus,Brest,2005,"1,531",96.4,1.7,98.1,,1.9,,,,0,1.9,,,87,,0,5.4,0,7.6,13,,90.6,,92.5,,99.7,90.8,86.7,62.4,,12.4,87.3,,99.7,0.3,UN-Habitat_MICS
Eastern Europe,Northern America and Europe,Belarus,Brest,2012,"1,989",91.9,1,93,0.9,2.5,,,,3.4,6.8,99.7,99.6,84.6,,4.4,5.9,0.3,4.9,15.4,,97.2,,88,99.7,96.5,95.1,95.8,95,,1.7,98.2,,99.8,0.2,UN-Habitat_MICS
Eastern Europe,Northern America and Europe,Belarus,Minsk,2005,"2,849",96.5,0.6,97.2,,0,,,,2.8,2.8,,,99.1,,0,0,0.9,0.1,0.9,,88.4,,92.8,99.9,100,96.9,96.8,82.6,,32.2,67.8,,,0,UN-Habitat_MICS
Eastern Europe,Northern America and Europe,Belarus,Minsk,2012,"3,720",92.9,0,92.9,0,0,,,,6.9,6.9,99.9,99.9,99.7,,0,0.1,0.1,0,0.3,,96.4,,97,,,96.5,96.1,98.2,,35.8,64.2,,,0,UN-Habitat_MICS
Eastern Europe,Northern America and Europe,Belarus,Vitebsk,2005,"1,545",81.5,6.8,88.3,,11.2,,,,0.4,11.6,99.9,99.5,76.3,,2.6,0.8,0.5,17.8,21.7,98,91.7,,58.6,98.1,100,97.9,87,61.4,100,8.1,90.8,,98.9,1.1,UN-Habitat_MICS
Eastern Europe,Northern America and Europe,Belarus,Vitebsk,2012,"1,947",92,3.6,95.6,0.6,3.5,,,,0.3,4.3,99.9,99.8,83.9,,0.2,2.8,1.2,11.3,15.5,99.4,96.9,,91.7,99.9,99.7,98.3,93.4,92.9,,2.5,96.8,,99.3,0.7,UN-Habitat_MICS
Southern Europe,Northern America and Europe,Bosnia and Herzegovina,Sarajevo,2006,516,97.3,0,97.3,0,0.3,1.1,0,,0.9,2.3,99.6,99.6,92.3,1.4,,5.9,0.1,0,6,98.2,98.2,,82.5,98.2,96.8,97.7,89.1,73.1,100,59.6,35.8,,95.4,4.6,UN-Habitat_MICS
Southern Europe,Northern America and Europe,Bosnia and Herzegovina,Tuzla,2006,189,72.8,0,72.8,0,0.9,5.8,0,,20.5,27.2,,,89.8,0,,10,0,0,10,99.7,99.6,,,,,98.1,95.9,67.9,,96.3,0,,96.3,3.7,UN-Habitat_MICS
Eastern Europe,Northern America and Europe,Moldova,Chisinau,2005,"6,419",89.1,0.3,89.4,0.4,2.4,0.7,0,0,6.5,10.1,99.5,,90,0.2,3.6,0.5,0.5,2.6,7.4,97.4,89,,93.3,99.6,99,96.1,94.5,67.4,99.7,8.6,91,0.2,99.8,0.1,UN-Habitat_DHS
Southern Europe,Northern America and Europe,Serbia,Belgrade,2005,"4,290",92.8,0.1,93,0.1,1.2,,,0.1,5.1,6.5,99.5,99.4,87,,0,11.1,,1.9,11.1,98.1,97,,97.4,98.9,96.2,92.3,90.8,87.8,,89.3,4.9,0,94.3,5.1,UN-Habitat_MICS
Southern Europe,Northern America and Europe,Serbia,Belgrade,2014,"3,503",87.6,0,87.6,0,0.1,0.9,,,11.4,12.3,99.9,99.2,81.1,,,17.6,,0.1,17.9,99,97.2,,99.9,99.1,98.9,97.7,92.6,97.7,100,80.4,14.3,,94.7,5.3,UN-Habitat_MICS
Western Europe,Northern America and Europe,Switzerland,Basel-Stadt (Basel-City),2000,"22,500",,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,Bern,2000,"139,528",,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,Fribourg,2000,"37,459",,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,Geneva,2000,"57,110",,,,,,,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,Glarus,2000,"6,347",,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,Luzern (Lucerne),2000,"55,147",,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,Neuchatel,2000,"23,724",,,,,,,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,Schwyz,2000,"20,404",,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,Solothurn,2000,"37,582",,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,St. Gallen (St. Gall),2000,"71,793",,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,Zug,2000,"15,037",,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,UN-Habitat_Census
Western Europe,Northern America and Europe,Switzerland,Zurich,2000,"177,903",,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,UN-Habitat_Census
Eastern Europe,Northern America and Europe,Ukraine,Kyiv,2005,454,,0,,0,0,0,,0,0,0,,,,,0,0,0,0,0,,96.2,,97.8,,,98.9,,73.7,,5.5,94.5,,,0,UN-Habitat_MICS
Eastern Europe,Northern America and Europe,Ukraine,Kyiv,2007,852,65.1,0,65.1,13.1,20.3,0,0,0,0.6,34,99.1,,65.7,0,,4.3,1.6,27.7,33.7,99.4,95,,82.6,97.5,99.8,96.3,65.8,87.6,,0.9,98.8,0.3,,0,UN-Habitat_DHS
Eastern Europe,Northern America and Europe,Ukraine,Lviv,2007,"1,088",87.5,0,87.5,0,12.4,0,0,0,0.1,12.5,,,88,0,,0,1.9,9.9,11.8,99.8,99.8,,99.8,,,95.9,74.1,87.3,,0,99.8,0.2,,0,UN-Habitat_DHS
Eastern Europe,Northern America and Europe,Ukraine,Vinnytza,2007,508,65.3,4.5,69.8,0,20.6,0.1,0,0,5.4,26.2,96,,62.9,0,,1.2,5.3,30.1,37.1,,95.3,,88.5,97.7,98.9,96.2,69.1,84.5,,14.5,85.5,0,,0,UN-Habitat_DHS
Northern America,Northern America and Europe,USA,Akron OH,2000,"28,381",,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,97.8,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Akron OH,2005,"5,330",,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,94.9,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Akron OH,2010,"5,091",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,99.2,,88.8,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Alexandria VA,2000,"17,019",,,,,,,,,,,,,,,,,,,,,,,,,,90.8,,99.1,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Anaheim CA,2000,"81,021",,,,,,,,,,,,,,,,,,,,,,,,,,73.1,,98.8,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Anaheim CA,2005,"12,443",,,,,,,,,,,,,,,,,,,,,,,,,,89.1,,98.3,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Anaheim CA,2010,"12,748",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,91.1,,98.4,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Anchorage AK,2000,"31,244",,,,,,,,,,,,,,,,,,,,,,,,,,96.4,,99.4,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Anchorage AK,2005,"6,154",,,,,,,,,,,,,,,,,,,,,,,,,,99.4,,99,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Anchorage AK,2010,"6,354",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,98.2,,99.3,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Arlington VA,2010,"5,582",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,99.3,,97,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Bakersfield CA,2000,"42,444",,,,,,,,,,,,,,,,,,,,,,,,,,91.3,,98.3,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Bakersfield CA,2005,"10,293",,,,,,,,,,,,,,,,,,,,,,,,,,98.4,,96.9,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Bakersfield CA,2010,"12,424",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,96.8,,98.2,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Baltimore MD,2000,"95,238",,,,,,,,,,,,,,,,,,,,,,,,,,97.2,,94.5,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Baltimore MD,2005,"15,581",,,,,,,,,,,,,,,,,,,,,,,,,,98.4,,92.2,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Baltimore MD,2010,"17,792",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,99,,95.2,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Baton Rouge LA,2000,"29,165",,,,,,,,,,,,,,,,,,,,,,,,,,96.6,,97,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Baton Rouge LA,2005,"5,759",,,,,,,,,,,,,,,,,,,,,,,,,,99,,93.8,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Baton Rouge LA,2010,"5,549",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,98,,96,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Beaumont TX,2000,"16,571",,,,,,,,,,,,,,,,,,,,,,,,,,95.8,,97.5,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Bellevue WA,2000,"15,401",,,,,,,,,,,,,,,,,,,,,,,,,,98,,99.8,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Boise ID,2000,"19,784",,,,,,,,,,,,,,,,,,,,,,,,,,97.9,,99.1,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Boise ID,2010,"5,257",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,99.2,,98.5,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Boston MA,2000,"90,936",,,,,,,,,,,,,,,,,,,,,,,,,,94.8,,98.4,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Boston MA,2005,"13,576",,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,95.1,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Boston MA,2010,"15,625",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,98.4,,98.1,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Bridgeport CT,2000,"24,515",,,,,,,,,,,,,,,,,,,,,,,,,,95.2,,95.9,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Brownsville TX,2000,"29,448",,,,,,,,,,,,,,,,,,,,,,,,,,82.8,,95,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Brownsville TX,2005,"7,280",,,,,,,,,,,,,,,,,,,,,,,,,,92.8,,89.6,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Brownsville TX,2010,"7,618",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,95.8,,99.4,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Buffalo NY,2000,"40,223",,,,,,,,,,,,,,,,,,,,,,,,,,97.7,,97.3,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Buffalo NY,2005,"6,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Buffalo NY,2010,"6,219",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,99.6,,96.4,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Burbank CA,2000,"15,775",,,,,,,,,,,,,,,,,,,,,,,,,,89.1,,99.2,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Cape Coral FL,2000,"16,407",,,,,,,,,,,,,,,,,,,,,,,,,,98.9,,99.4,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Charlotte NC,2000,"68,775",,,,,,,,,,,,,,,,,,,,,,,,,,95.9,,98.3,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Charlotte NC,2005,"15,081",,,,,,,,,,,,,,,,,,,,,,,,,,98.5,,95.4,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Charlotte NC,2010,"17,045",,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,99,,98.5,,,,,,,UN-Habitat_Census
Northern America,Northern America and Europe,USA,Chattanooga TN,2000,"20,247",,,,,,,,,,,,,,,,,,,,,,,,,,97.4,,96.7,,,,,,,UN-Habitat_Census
