Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Plymouth,United Kingdom,Northern America and Europe,96.96,European Commission DG REGIO,1127
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Plzen,Czech Republic,Northern America and Europe,96.33,European Commission DG REGIO,1128
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Poissy,France,Northern America and Europe,95.66,European Commission DG REGIO,1129
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Poitiers,France,Northern America and Europe,95.76,European Commission DG REGIO,1130
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pokhara,Nepal,Central and Southern Asia ,75.82,UN-Habitat Urban Indicators Database,1131
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Polack ,Belarus ,Northern America and Europe,60.17,UN-Habitat Urban Indicators Database,1132
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pol-e Khomri,Afghanistan,Central and Southern Asia ,29.55,UN-Habitat Urban Indicators Database,1133
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pordenone,Italy,Northern America and Europe,92.54,European Commission DG REGIO,1134
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Port Elizabeth,South Africa,Sub-Saharan Africa,5.61,UN-Habitat Urban Indicators Database,1135
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Port Moresby,Papua New Guinea,Oceania  excluding Australia and New Zealand ,13.94,UN-Habitat Urban Indicators Database,1136
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Port Said,Egypt,Western Asia  and Northern Africa ,27.78,UN-Habitat Urban Indicators Database,1137
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Port-au-Prince_Cite Soleil_Carrefour_Delmas,Haiti,Latin America and the Caribbean ,13.01,UN-Habitat Urban Indicators Database,1138
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Portland, OR",United States,Northern America and Europe,68.32,UN-Habitat Urban Indicators Database,1139
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Portmore_Montego Bay,Jamaica,Latin America and the Caribbean ,11.99,UN-Habitat Urban Indicators Database,1140
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",New York,United States,Northern America and Europe,69.83,UN-Habitat Urban Indicators Database,1141
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Qabis,Tunisia,Western Asia  and Northern Africa ,30.22,UN-Habitat Urban Indicators Database,1142
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Masaka,Uganda,Sub-Saharan Africa,8.43,UN-Habitat Urban Indicators Database,1143
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",PortoAlegre_NovoHamburgo,Brazil,Latin America and the Caribbean ,80.08,UN-Habitat Urban Indicators Database,1144
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Portsmouth,United Kingdom,Northern America and Europe,95.14,European Commission DG REGIO,1145
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Poruba,Czech Republic,Northern America and Europe,87.09,European Commission DG REGIO,1146
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Porz,Germany,Northern America and Europe,78.8,European Commission DG REGIO,1147
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Potsdam,Germany,Northern America and Europe,88.85,European Commission DG REGIO,1148
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pozarevac,Serbia,Northern America and Europe,36.97,UN-Habitat Urban Indicators Database,1149
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Poznan,Poland,Northern America and Europe,92.86,European Commission DG REGIO,1150
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pozzuoli / Bacoli,Italy,Northern America and Europe,70.46,European Commission DG REGIO,1151
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Praha,Czech Republic,Northern America and Europe,93.73,European Commission DG REGIO,1152
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Prato,Italy,Northern America and Europe,97.86,European Commission DG REGIO,1153
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Preston,United Kingdom,Northern America and Europe,96.51,European Commission DG REGIO,1154
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Przemy?l,Poland,Northern America and Europe,96.17,European Commission DG REGIO,1155
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Puebla (Heróica Puebla de Zaragoza),Mexico,Latin America and the Caribbean ,61.3,UN-Habitat Urban Indicators Database,1156
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Puerta Plata,Dominican Republic,Latin America and the Caribbean ,16.94,UN-Habitat Urban Indicators Database,1157
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Puerto Barrios,Guatemala,Latin America and the Caribbean ,41.68,UN-Habitat Urban Indicators Database,1158
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Puerto de la Cruz,Spain,Northern America and Europe,91.69,European Commission DG REGIO,1159
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Puerto Limon,Costa Rica,Latin America and the Caribbean ,33.51,UN-Habitat Urban Indicators Database,1160
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Nurak [Hopak],Tajikistan,Central and Southern Asia ,41.45,UN-Habitat Urban Indicators Database,1161
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Nyanza,Rwanda,Sub-Saharan Africa,24.16,UN-Habitat Urban Indicators Database,1162
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Nyeri,Kenya,Sub-Saharan Africa,23.91,UN-Habitat Urban Indicators Database,1163
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Nyíregyháza,Hungary,Northern America and Europe,92.08,European Commission DG REGIO,1164
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Oberá,Argentina,Latin America and the Caribbean ,85.59,UN-Habitat Urban Indicators Database,1165
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Odense,Denmark,Northern America and Europe,91.6,European Commission DG REGIO,1166
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Okayama,Japan,Eastern and South-Eastern Asia,24.98,UN-Habitat Urban Indicators Database,1167
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Oldenburg,Germany,Northern America and Europe,91.09,European Commission DG REGIO,1168
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Olomouc,Czech Republic,Northern America and Europe,92.94,European Commission DG REGIO,1169
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Olsztyn,Poland,Northern America and Europe,94.03,European Commission DG REGIO,1170
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Oostende,Belgium,Northern America and Europe,94.07,European Commission DG REGIO,1171
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Opole,Poland,Northern America and Europe,93.68,European Commission DG REGIO,1172
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mila,Algeria,Western Asia  and Northern Africa ,52.41,UN-Habitat Urban Indicators Database,1173
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mechelen,Belgium,Northern America and Europe,93.19,European Commission DG REGIO,1174
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",München,Germany,Northern America and Europe,93.62,European Commission DG REGIO,1175
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Qulsary,Kazakhstan,Central and Southern Asia ,20.46,UN-Habitat Urban Indicators Database,1176
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Magdeburg,Germany,Northern America and Europe,88.77,European Commission DG REGIO,1177
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Salto,Uruguay,Latin America and the Caribbean ,45.89,UN-Habitat Urban Indicators Database,1178
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Saarbrücken,Germany,Northern America and Europe,96.5,European Commission DG REGIO,1179
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Reghin,Romania,Northern America and Europe,60.43,UN-Habitat Urban Indicators Database,1180
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Riga,Latvia,Northern America and Europe,92.73,European Commission DG REGIO,1181
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Osh,Kyrgyzstan,Central and Southern Asia ,39.6,UN-Habitat Urban Indicators Database,1182
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mangalia,Romania,Northern America and Europe,26.69,UN-Habitat Urban Indicators Database,1183
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mahajanga,Madagascar,Sub-Saharan Africa,46.54,UN-Habitat Urban Indicators Database,1184
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Paderborn,Germany,Northern America and Europe,97.69,European Commission DG REGIO,1185
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Münster,Germany,Northern America and Europe,93.94,European Commission DG REGIO,1186
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Salvador,Brazil,Latin America and the Caribbean ,80.43,UN-Habitat Urban Indicators Database,1187
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Regina,Canada,Northern America and Europe,95.04,UN-Habitat Urban Indicators Database,1188
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Manhica,Mozambique,Sub-Saharan Africa,49.45,UN-Habitat Urban Indicators Database,1189
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Murcia,Spain,Northern America and Europe,80.08,European Commission DG REGIO,1190
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Salzburg,Austria,Northern America and Europe,93.48,European Commission DG REGIO,1191
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Samarinda,Indonesia,Eastern and South-Eastern Asia,37,UN-Habitat Urban Indicators Database,1192
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Samsun,Turkey,Western Asia  and Northern Africa ,41.97,UN-Habitat Urban Indicators Database,1193
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Francisco de Macoris,Dominican Republic,Latin America and the Caribbean ,11.56,UN-Habitat Urban Indicators Database,1194
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Hose,Costa Rica,Latin America and the Caribbean ,59.26,UN-Habitat Urban Indicators Database,1195
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Juan,Argentina,Latin America and the Caribbean ,15.72,UN-Habitat Urban Indicators Database,1196
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Juan de los Morros,Venezuela,Latin America and the Caribbean ,48.75,UN-Habitat Urban Indicators Database,1197
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Juan del Río,Mexico,Latin America and the Caribbean ,9.66,UN-Habitat Urban Indicators Database,1198
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Juan Sacatepéquez,Guatemala,Latin America and the Caribbean ,43.82,UN-Habitat Urban Indicators Database,1199
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Martín,Argentina,Latin America and the Caribbean ,18.69,UN-Habitat Urban Indicators Database,1200
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Zamo??,Poland,Northern America and Europe,93.28,European Commission DG REGIO,1201
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Temuco,Chile,Latin America and the Caribbean ,89.95,UN-Habitat Urban Indicators Database,1202
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Zamora,Spain,Northern America and Europe,97.93,European Commission DG REGIO,1203
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Waco,United States,Northern America and Europe,38.48,UN-Habitat Urban Indicators Database,1204
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tepic,Mexico,Latin America and the Caribbean ,12.34,UN-Habitat Urban Indicators Database,1205
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Uzunköprü,Turkey,Western Asia  and Northern Africa ,88.46,UN-Habitat Urban Indicators Database,1206
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Zaragoza,Spain,Northern America and Europe,98.93,European Commission DG REGIO,1207
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Wad Madani,Sudan,Western Asia  and Northern Africa ,10.54,UN-Habitat Urban Indicators Database,1208
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Terrassa,Spain,Northern America and Europe,89.77,European Commission DG REGIO,1209
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Taipei, Taiwan",China,Eastern and South-Eastern Asia,88.71,UN-Habitat Urban Indicators Database,1210
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Zárate,Argentina,Latin America and the Caribbean ,45.76,UN-Habitat Urban Indicators Database,1211
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Wakefield,United Kingdom,Northern America and Europe,95.99,European Commission DG REGIO,1212
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Thanet,United Kingdom,Northern America and Europe,96.92,European Commission DG REGIO,1213
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Vah?dat (Kofarinchon, Ordzonikidzeabad)",Tajikistan,Central and Southern Asia ,23.95,UN-Habitat Urban Indicators Database,1214
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Sebastián/Donostia,Spain,Northern America and Europe,98.2,European Commission DG REGIO,1215
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sitapur,India,Central and Southern Asia ,18.46,UN-Habitat Urban Indicators Database,1216
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sofia,Bulgaria,Northern America and Europe,92.07,European Commission DG REGIO,1217
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tatuí,Brazil,Latin America and the Caribbean ,48.05,UN-Habitat Urban Indicators Database,1218
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sana,Yemen,Western Asia  and Northern Africa ,15.16,UN-Habitat Urban Indicators Database,1219
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Wigan / Skelmersdale,United Kingdom,Northern America and Europe,94.69,European Commission DG REGIO,1220
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Taizz,Yemen,Western Asia  and Northern Africa ,40.32,UN-Habitat Urban Indicators Database,1221
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Vaihingen / Möhringen,Germany,Northern America and Europe,87.86,European Commission DG REGIO,1222
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sanandaj ,Iran,Central and Southern Asia ,53.11,UN-Habitat Urban Indicators Database,1223
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Winnipeg,Canada,Northern America and Europe,91.73,UN-Habitat Urban Indicators Database,1224
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Talas,Kyrgyzstan,Central and Southern Asia ,69.65,UN-Habitat Urban Indicators Database,1225
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Valdemoro,Spain,Northern America and Europe,97.48,European Commission DG REGIO,1226
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sanliurfa,Turkey,Western Asia  and Northern Africa ,53.36,UN-Habitat Urban Indicators Database,1227
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Winterthur,Switzerland,Northern America and Europe,93.67,European Commission DG REGIO,1228
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Talavera de la Reina,Spain,Northern America and Europe,98.44,European Commission DG REGIO,1229
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Valence,France,Northern America and Europe,97.01,European Commission DG REGIO,1230
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sannar,Sudan,Western Asia  and Northern Africa ,5.54,UN-Habitat Urban Indicators Database,1231
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Woking,United Kingdom,Northern America and Europe,89.11,European Commission DG REGIO,1232
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Talca,Chile,Latin America and the Caribbean ,86.33,UN-Habitat Urban Indicators Database,1233
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Timi?oara,Romania,Northern America and Europe,91.7,European Commission DG REGIO,1234
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Valencia,Venezuela,Latin America and the Caribbean ,22.04,UN-Habitat Urban Indicators Database,1235
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Wroclaw,Poland,Northern America and Europe,94.57,European Commission DG REGIO,1236
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tychy,Poland,Northern America and Europe,94.2,European Commission DG REGIO,1237
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sant Boi de Llobregat,Spain,Northern America and Europe,98.63,European Commission DG REGIO,1238
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Wolfsburg,Germany,Northern America and Europe,94.39,European Commission DG REGIO,1239
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Taldyqorg´an,Kazakhstan,Central and Southern Asia ,20.54,UN-Habitat Urban Indicators Database,1240
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Valencia,Spain,Northern America and Europe,87.95,European Commission DG REGIO,1241
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Santa ana,El Salvador,Latin America and the Caribbean ,28.95,UN-Habitat Urban Indicators Database,1242
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Wollogong,Australia,Australia and New Zealand ,76.43,UN-Habitat Urban Indicators Database,1243
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tallahasee,United States,Northern America and Europe,62.51,UN-Habitat Urban Indicators Database,1244
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Valenciennes,France,Northern America and Europe,90.22,European Commission DG REGIO,1245
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Santa Clara,Cuba,Latin America and the Caribbean ,52.65,UN-Habitat Urban Indicators Database,1246
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Worcester,United Kingdom,Northern America and Europe,95,European Commission DG REGIO,1247
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tallinn,Estonia,Northern America and Europe,95.38,European Commission DG REGIO,1248
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Valera,Venezuela,Latin America and the Caribbean ,34.78,UN-Habitat Urban Indicators Database,1249
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sincelejo,Colombia,Latin America and the Caribbean ,11.26,UN-Habitat Urban Indicators Database,1250
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Santa Cruz de Tenerife,Spain,Northern America and Europe,98.57,European Commission DG REGIO,1251
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Worthing,United Kingdom,Northern America and Europe,97.2,European Commission DG REGIO,1252
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tamanrasset,Algeria,Western Asia  and Northern Africa ,32.23,UN-Habitat Urban Indicators Database,1253
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Valladolid,Spain,Northern America and Europe,98.43,European Commission DG REGIO,1254
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Szeged,Hungary,Northern America and Europe,92.28,European Commission DG REGIO,1255
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sindelfingen,Germany,Northern America and Europe,95.02,European Commission DG REGIO,1256
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Santa Cruz do Capibaribe,Brazil,Latin America and the Caribbean ,92.43,UN-Habitat Urban Indicators Database,1257
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Västerås,Sweden,Northern America and Europe,79.71,European Commission DG REGIO,1258
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Székesfehérvár,Hungary,Northern America and Europe,93.34,European Commission DG REGIO,1259
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Taunggyi,Myanmar,Eastern and South-Eastern Asia,66.23,UN-Habitat Urban Indicators Database,1260
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Santa Lucía Cotzumalguapa,Guatemala,Latin America and the Caribbean ,76.58,UN-Habitat Urban Indicators Database,1261
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sohar,Oman,Western Asia  and Northern Africa ,52.86,UN-Habitat Urban Indicators Database,1262
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Szombathely,Hungary,Northern America and Europe,95.83,European Commission DG REGIO,1263
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Taunton,United Kingdom,Northern America and Europe,95.53,European Commission DG REGIO,1264
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Wuhan, Hubei",China,Eastern and South-Eastern Asia,60.05,UN-Habitat Urban Indicators Database,1265
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tyneside conurbation,United Kingdom,Northern America and Europe,97.05,European Commission DG REGIO,1266
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Veenendaal,Netherlands,Northern America and Europe,64.32,European Commission DG REGIO,1267
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Solingen / Wuppertal,Germany,Northern America and Europe,94.5,European Commission DG REGIO,1268
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tabriz,Iran,Central and Southern Asia ,59.01,UN-Habitat Urban Indicators Database,1269
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tyre,Lebanon,Western Asia  and Northern Africa ,10.62,UN-Habitat Urban Indicators Database,1270
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Würzburg,Germany,Northern America and Europe,94.31,European Commission DG REGIO,1271
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Veliko Tarnovo,Bulgaria,Northern America and Europe,93.44,European Commission DG REGIO,1272
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tauranga,New Zealand,Australia and New Zealand ,91.71,UN-Habitat Urban Indicators Database,1273
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Songnim ,Democratic People's Republic of Korea (North Korea),Eastern and South-Eastern Asia,4.52,UN-Habitat Urban Indicators Database,1274
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tabuk,Saudi Arabia,Western Asia  and Northern Africa ,16.15,UN-Habitat Urban Indicators Database,1275
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tyumen,Russia,Northern America and Europe,81.69,UN-Habitat Urban Indicators Database,1276
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Wycombe,United Kingdom,Northern America and Europe,94.71,European Commission DG REGIO,1277
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Xalapa-Enríquez (Jalapa),Mexico,Latin America and the Caribbean ,26.6,UN-Habitat Urban Indicators Database,1278
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Xingping, Shaanxi",China,Eastern and South-Eastern Asia,46.7,UN-Habitat Urban Indicators Database,1279
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Xucheng, Jiangsu",China,Eastern and South-Eastern Asia,50.73,UN-Habitat Urban Indicators Database,1280
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Yamaguchi,Japan,Eastern and South-Eastern Asia,20.18,UN-Habitat Urban Indicators Database,1281
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Yambol,Bulgaria,Northern America and Europe,88.85,European Commission DG REGIO,1282
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Yanggu, Shandong",China,Eastern and South-Eastern Asia,33.94,UN-Habitat Urban Indicators Database,1283
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Yangon,Myanmar,Eastern and South-Eastern Asia,70.46,UN-Habitat Urban Indicators Database,1284
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Yarim,Yemen,Western Asia  and Northern Africa ,59.04,UN-Habitat Urban Indicators Database,1285
